EventId,TeamId,MatchId,PlayerId,GameTime,X,Y,X_rec,Y_rec,Evaluation,IsCross,IsCorner,InGameSection,NumDefInBox,NumAttInBox,ScoreHome,ScoreGuest,MatchStateForTeam,AnyRedBeforeCross,RedForOwnTeam,RedForOppTeam,ShotEventId,ShotPlayerId,ShotGameTime,ShotTimeSec,ShotX,ShotY,ShotxG,ShotResult,ShotInGameSection,ShotNumDefInBox,ShotNumAttInBox
18703800001325,DFL-CLU-000010,DFL-MAT-J040BI,DFL-OBJ-002GJF,077:45:96,-31.36,34.17,-42.66,2.31,successfullyCompleted,True,False,secondHalf,6.0,4.0,1,1,drawing,False,False,False,18703800001329,DFL-OBJ-0026TP,077:51:72,4671.72,-48.82,-5.43,0.0773,savedShot,secondHalf,9.0,6.0
18703800001629,DFL-CLU-00000V,DFL-MAT-J040BI,DFL-OBJ-0001EA,093:40:96,35.5,30.76,38.87,-2.83,successfullyCompleted,True,False,secondHalf,0.0,0.0,1,1,drawing,False,False,False,18703800001631,DFL-OBJ-J021ZE,093:43:88,5623.88,41.36,-4.1,0.2311,successfulShot,secondHalf,5.0,2.0
18703900000298,DFL-CLU-000006,DFL-MAT-J040BJ,DFL-OBJ-00278Q,024:46:88,38.35,19.13,43.5,3.7,successfullyCompleted,True,False,firstHalf,6.0,4.0,0,0,drawing,False,False,False,18703900000299,DFL-OBJ-002FU7,024:47:83,1487.83,43.56,3.56,0.0848,shotWide,firstHalf,7.0,3.0
18703900000412,DFL-CLU-000006,DFL-MAT-J040BJ,DFL-OBJ-00278Q,030:56:07,50.18,26.23,48.35,4.63,unsuccessful,True,False,firstHalf,9.0,6.0,0,0,drawing,False,False,False,18703900000414,DFL-OBJ-002FU7,030:59:48,1859.48,44.04,-7.35,0.0877,savedShot,firstHalf,11.0,7.0
18703900000834,DFL-CLU-00000B,DFL-MAT-J040BJ,DFL-OBJ-J01860,053:09:36,38.38,-26.19,48.65,4.54,successfullyCompleted,True,False,secondHalf,8.0,5.0,1,1,drawing,False,False,False,18703900000835,DFL-OBJ-002G6U,053:10:92,3190.92,49.02,4.48,0.3305,successfulShot,secondHalf,9.0,6.0
18703900001231,DFL-CLU-000006,DFL-MAT-J040BJ,DFL-OBJ-002G5B,087:26:92,-32.96,21.39,-33.64,20.51,unsuccessful,True,False,secondHalf,5.0,3.0,2,2,drawing,False,False,False,18703900001236,DFL-OBJ-0002LI,087:34:84,5254.84,-34.73,4.46,0.0592,shotWide,secondHalf,6.0,5.0
18704000000790,DFL-CLU-000004,DFL-MAT-J040BK,DFL-OBJ-J01D4G,046:36:44,50.69,-22.18,44.82,6.13,successfullyCompleted,True,False,firstHalf,6.0,2.0,0,0,drawing,False,False,False,18704000000791,DFL-OBJ-0027RM,046:38:15,2798.15,44.91,6.05,0.0837,shotWide,firstHalf,9.0,3.0
18704000000864,DFL-CLU-000003,DFL-MAT-J040BK,DFL-OBJ-J021ET,049:56:72,35.48,24.0,44.11,-3.17,successfullyCompleted,True,False,secondHalf,0.0,0.0,0,0,drawing,False,False,False,18704000000866,DFL-OBJ-002G51,049:58:23,2998.23,45.04,-3.06,0.5012,successfulShot,secondHalf,6.0,3.0
18704000001409,DFL-CLU-000003,DFL-MAT-J040BK,DFL-OBJ-J01K9O,083:30:71,33.81,25.48,45.37,14.2,successfullyCompleted,True,False,secondHalf,0.0,0.0,0,1,winning,False,False,False,18704000001411,DFL-OBJ-0028NG,083:32:68,5012.68,46.05,13.8,0.0463,shotWide,secondHalf,4.0,2.0
18704000001491,DFL-CLU-000004,DFL-MAT-J040BK,DFL-OBJ-000172,088:13:15,-38.64,-30.84,-40.18,-5.7,unsuccessful,True,False,secondHalf,5.0,3.0,0,0,drawing,False,False,False,18704000001494,DFL-OBJ-J01H9V,088:18:39,5298.39,-22.95,8.61,0.0145,blockedShot,secondHalf,6.0,3.0
