season,league,match_id,crosses_openplay,shot_links,share_links_per_cross
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YND,34,9,0.2647058823529412
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNE,17,7,0.4117647058823529
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNF,13,4,0.3076923076923077
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNG,12,6,0.5
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNH,27,5,0.18518518518518517
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNI,24,4,0.16666666666666666
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNJ,19,3,0.15789473684210525
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNK,23,1,0.043478260869565216
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNL,9,1,0.1111111111111111
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNM,30,8,0.26666666666666666
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNN,9,4,0.4444444444444444
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNO,18,6,0.3333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNP,28,10,0.35714285714285715
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNQ,20,7,0.35
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNR,36,10,0.2777777777777778
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNS,17,6,0.35294117647058826
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNT,23,4,0.17391304347826086
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNU,31,2,0.06451612903225806
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNV,19,3,0.15789473684210525
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNW,21,7,0.3333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNX,19,3,0.15789473684210525
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNY,6,0,0.0
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YNZ,22,7,0.3181818181818182
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO0,15,10,0.6666666666666666
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO1,17,4,0.23529411764705882
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO2,25,5,0.2
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO3,19,8,0.42105263157894735
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO4,27,3,0.1111111111111111
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO5,27,5,0.18518518518518517
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO6,32,9,0.28125
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO7,13,5,0.38461538461538464
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO8,24,7,0.2916666666666667
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YO9,14,5,0.35714285714285715
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOA,19,3,0.15789473684210525
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOB,25,10,0.4
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOC,28,8,0.2857142857142857
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOD,19,5,0.2631578947368421
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOE,11,2,0.18181818181818182
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOF,13,4,0.3076923076923077
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOG,18,5,0.2777777777777778
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOH,21,2,0.09523809523809523
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOI,13,1,0.07692307692307693
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOJ,23,4,0.17391304347826086
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOK,33,8,0.24242424242424243
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOL,35,10,0.2857142857142857
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOM,29,9,0.3103448275862069
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YON,22,10,0.45454545454545453
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOO,27,4,0.14814814814814814
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOP,12,2,0.16666666666666666
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOQ,28,9,0.32142857142857145
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOR,16,6,0.375
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOS,14,4,0.2857142857142857
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOT,19,6,0.3157894736842105
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOU,15,2,0.13333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOV,30,7,0.23333333333333334
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOW,26,5,0.19230769230769232
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOX,11,5,0.45454545454545453
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOY,34,7,0.20588235294117646
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YOZ,13,2,0.15384615384615385
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP0,29,2,0.06896551724137931
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP1,20,5,0.25
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP2,23,7,0.30434782608695654
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP3,18,2,0.1111111111111111
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP4,26,6,0.23076923076923078
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP5,18,3,0.16666666666666666
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP6,29,5,0.1724137931034483
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP7,15,2,0.13333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP8,29,7,0.2413793103448276
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YP9,13,3,0.23076923076923078
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPA,19,2,0.10526315789473684
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPB,26,2,0.07692307692307693
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPC,23,11,0.4782608695652174
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPD,23,6,0.2608695652173913
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPE,7,3,0.42857142857142855
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPF,21,3,0.14285714285714285
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPG,27,8,0.2962962962962963
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPH,19,5,0.2631578947368421
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPI,12,3,0.25
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPJ,24,7,0.2916666666666667
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPK,18,2,0.1111111111111111
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPL,27,10,0.37037037037037035
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPM,34,3,0.08823529411764706
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPN,23,5,0.21739130434782608
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPO,22,3,0.13636363636363635
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPP,20,2,0.1
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPQ,13,5,0.38461538461538464
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPR,22,7,0.3181818181818182
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPS,16,2,0.125
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPT,23,5,0.21739130434782608
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPU,24,8,0.3333333333333333
DFL-SEA-0001K7,2. Bundesliga,DFL-MAT-J03YPV,21,9,0.42857142857142855
