match_id,end_min_first_half,end_min_second_half,duration_first_half,duration_second_half
DFL-MAT-J03WP5,47,94,47,47
DFL-MAT-J03WP6,47,95,47,48
DFL-MAT-J03WP7,49,97,49,48
DFL-MAT-J03WP8,47,95,47,48
DFL-MAT-J03WP9,46,101,46,55
DFL-MAT-J03WPA,48,94,48,46
DFL-MAT-J03WPB,47,95,47,48
DFL-MAT-J03WPC,47,95,47,48
DFL-MAT-J03WPD,49,96,49,47
DFL-MAT-J03WPE,48,95,48,47
DFL-MAT-J03WPF,49,94,49,45
DFL-MAT-J03WPG,49,95,49,46
DFL-MAT-J03WPH,48,95,48,47
DFL-MAT-J03WPI,47,90,47,43
DFL-MAT-J03WPJ,48,94,48,46
DFL-MAT-J03WPK,46,95,46,49
DFL-MAT-J03WPL,49,95,49,46
DFL-MAT-J03WPM,46,98,46,52
DFL-MAT-J03WPN,48,95,48,47
DFL-MAT-J03WPO,48,94,48,46
DFL-MAT-J03WPP,47,95,47,48
DFL-MAT-J03WPQ,46,91,46,45
DFL-MAT-J03WPR,47,96,47,49
DFL-MAT-J03WPS,45,94,45,49
DFL-MAT-J03WPT,47,96,47,49
DFL-MAT-J03WPU,54,95,54,41
DFL-MAT-J03WPV,46,94,46,48
DFL-MAT-J03WPW,48,94,48,46
DFL-MAT-J03WPX,50,95,50,45
DFL-MAT-J03WPY,47,97,47,50
DFL-MAT-J03WPZ,48,95,48,47
DFL-MAT-J03WQ0,48,97,48,49
DFL-MAT-J03WQ1,47,96,47,49
DFL-MAT-J03WQ2,49,96,49,47
DFL-MAT-J03WQ3,46,94,46,48
DFL-MAT-J03WQ4,47,98,47,51
DFL-MAT-J03WQ5,48,97,48,49
DFL-MAT-J03WQ6,47,93,47,46
DFL-MAT-J03WQ7,46,93,46,47
DFL-MAT-J03WQ8,47,95,47,48
DFL-MAT-J03WQ9,47,94,47,47
DFL-MAT-J03WQA,47,94,47,47
DFL-MAT-J03WQB,48,94,48,46
DFL-MAT-J03WQC,48,94,48,46
DFL-MAT-J03WQD,46,94,46,48
DFL-MAT-J03WQE,47,96,47,49
DFL-MAT-J03WQF,47,97,47,50
DFL-MAT-J03WQG,51,95,51,44
DFL-MAT-J03WQH,46,94,46,48
DFL-MAT-J03WQI,48,93,48,45
DFL-MAT-J03WQJ,47,95,47,48
DFL-MAT-J03WQK,46,95,46,49
DFL-MAT-J03WQL,46,96,46,50
DFL-MAT-J03WQM,46,94,46,48
DFL-MAT-J03WQN,48,95,48,47
DFL-MAT-J03WQO,47,94,47,47
DFL-MAT-J03WQP,48,95,48,47
DFL-MAT-J03WQQ,47,94,47,47
DFL-MAT-J03WQR,46,93,46,47
DFL-MAT-J03WQS,47,95,47,48
DFL-MAT-J03WQT,47,94,47,47
DFL-MAT-J03WQU,49,97,49,48
DFL-MAT-J03WQV,46,94,46,48
DFL-MAT-J03WQW,50,98,50,48
DFL-MAT-J03WQX,47,95,47,48
DFL-MAT-J03WQY,49,96,49,47
DFL-MAT-J03WQZ,46,95,46,49
DFL-MAT-J03WR0,49,95,49,46
DFL-MAT-J03WR1,47,96,47,49
DFL-MAT-J03WR2,46,94,46,48
DFL-MAT-J03WR3,46,95,46,49
DFL-MAT-J03WR4,47,94,47,47
DFL-MAT-J03WR5,48,95,48,47
DFL-MAT-J03WR6,47,95,47,48
DFL-MAT-J03WR7,52,95,52,43
DFL-MAT-J03WR8,46,94,46,48
DFL-MAT-J03WR9,46,98,46,52
DFL-MAT-J03WRA,49,94,49,45
DFL-MAT-J03WRB,48,93,48,45
DFL-MAT-J03WRC,50,94,50,44
DFL-MAT-J03WRD,48,96,48,48
DFL-MAT-J03WRE,47,95,47,48
DFL-MAT-J03WRF,47,96,47,49
DFL-MAT-J03WRG,48,98,48,50
DFL-MAT-J03WRH,47,95,47,48
DFL-MAT-J03WRI,47,94,47,47
DFL-MAT-J03WRJ,47,99,47,52
DFL-MAT-J03WRK,47,95,47,48
DFL-MAT-J03WRL,50,98,50,48
DFL-MAT-J03WRM,49,94,49,45
DFL-MAT-J03WRN,48,95,48,47
DFL-MAT-J03WRO,47,97,47,50
DFL-MAT-J03WRP,47,92,47,45
DFL-MAT-J03WRQ,53,95,53,42
